link,is_furnished,apartment_class
https://www.otodom.pl/pl/oferta/apartament-2-pokoje-ursynow-logia-61-m2-metro-ID4slww,1,standard
https://www.otodom.pl/pl/oferta/bartoszka-3-pokoje-67-m2-ID4tMC3,1,basic
https://www.otodom.pl/pl/oferta/bezposrednio-3pok-58m2-metro-natolin-umeblowane-ID4tN4F,1,basic
https://www.otodom.pl/pl/oferta/eleganckie-3-pokoje-w-sercu-miasteczka-wilanow-ID4tuyA,1,superior
https://www.otodom.pl/pl/oferta/eleganckie-3pok-70m2-z-ogrodkiem-i-garazem-ID4gF4e,1,standard
https://www.otodom.pl/pl/oferta/goclaw-2pokoje-przy-promenadzie-garderoba-klima-ID4tMqg,1,superior
https://www.otodom.pl/pl/oferta/kawalerka-w-samym-centrum-warszawy-ID4tjtS,1,basic
https://www.otodom.pl/pl/oferta/kompaktowa-kawalerka-przy-metrze-pole-mokotowskie-ID4tNdf,1,basic
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-82m2-chomiczowka-ID4tmbY,1,basic
https://www.otodom.pl/pl/oferta/mieszkanie-49-66-m-warszawa-ID4tN3k,0,standard
https://www.otodom.pl/pl/oferta/nowy-apartament-ul-kasprzaka-komorka-i-parking-ID4tMyI,1,superior
https://www.otodom.pl/pl/oferta/pierwszy-najemca-nowiutkie-m4-przy-metrze-kabaty-ID4tNhj,1,superior
https://www.otodom.pl/pl/oferta/rezerwacja-nowe-mieszkanie-bl-westfield-mokotow-ID4tN7Y,1,superior
https://www.otodom.pl/pl/oferta/wlochy-4-pokoje-92m2-6-pietro-nowe-zwierzeta-ID4tMFU,1,superior
https://www.otodom.pl/pl/oferta/2-pok-w-sercu-starego-mokotowa-w-kamienicy-1938-r-ID4tNWH,1,standard
https://www.otodom.pl/pl/oferta/2-pokoje-41-m2-metro-rondo-daszynskiego-ID4tHRB,1,standard
https://www.otodom.pl/pl/oferta/2-pokoje-przy-placu-zbawicielaklimaremont-ID4tOca,1,standard
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-grochowie-ID4tNV3,1,standard
https://www.otodom.pl/pl/oferta/4-pokoje-po-remoncie-w-apartamentowcu-ID4tOeO,1,premium
https://www.otodom.pl/pl/oferta/83m2-3-pokoje-miasteczko-wilanow-ID30y8I,1,basic
https://www.otodom.pl/pl/oferta/centrum-wysoki-stand-klimatyzacja-metro-1-i-2-ID4tOj9,1,standard
https://www.otodom.pl/pl/oferta/dwa-pokoje-ochota-wlochy-ID4taVB,1,basic
https://www.otodom.pl/pl/oferta/kabaty-60-m-2-pokoje-garaz-taras-ID4tNCl,1,basic
https://www.otodom.pl/pl/oferta/kamienica-ciche-balkon-parking-ID4tl2P,1,standard
https://www.otodom.pl/pl/oferta/kawalerka-w-dobrej-lokalizacji-po-remoncie-ID4tOhW,1,basic
https://www.otodom.pl/pl/oferta/kawalerka-winda-williama-lindleya-ID4tNGQ,0,standard
https://www.otodom.pl/pl/oferta/lux-studio-aneks-sypialniany-39m2-metro-dw-wilensk-ID4sndx,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-1pok-28m2-mokotow-ul-opoczynska-metro-ID4tkbo,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-na-saskiej-kepie-ID4tNCD,1,standard
https://www.otodom.pl/pl/oferta/niski-czynsz-balkon-metro-brodno-las-ID4tNxS,1,standard
https://www.otodom.pl/pl/oferta/nowe-2-pokoje-wysoki-standard-bezposrednio-ID4mp8r,1,standard
https://www.otodom.pl/pl/oferta/po-remoncie-2-pokoje-na-olszynce-g-ID4tO63,1,standard
https://www.otodom.pl/pl/oferta/przestronnosc-styl-i-komfort-z-oszklona-loggia-ID4tGgb,1,standard
https://www.otodom.pl/pl/oferta/przestronny-apartament-na-srodmiesciu-ID4tCCD,1,premium
