added_dt,floor,heating,latitude,longitude,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning,distance_to_stop,distance_to_subway,distance_to_center,avg_price,is_furnished,apartment_class
2024-12-02,4.0,,52.24991,20.98595,1,block_of_flats,0,Wola,3100,460,25.7,1.0,9.0,0,0,0,0,0,0,0,1,0,0,60.0,0,0,0,0,0.06549260050752881,0.9987582946839241,2.871,93.51616312775423,1,basic
2024-12-02,4.0,district,52.243378,20.992663,0,tenement,0,Srodmiescie,3100,900,50.0,2.0,4.0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0.09051449336862934,0.5500885052652769,2.021,102.26356409230421,1,standard
2024-12-02,1.0,district,52.20884,21.06277,1,block_of_flats,0,Mokotow,3900,1061,60.47,3.0,4.0,0,0,0,1,1,0,0,0,1,1,23.0,0,0,1,0,0.22622245925307874,3.3818039490048757,4.153,95.48493064848418,1,standard
2024-12-03,10.0,,52.25323,20.98401,0,other,0,Srodmiescie,3700,805,47.0,2.0,12.0,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0.03924297768154262,0.8185533127349574,3.245,99.66462965547315,1,standard
2024-12-03,2.0,,52.228417,21.065528,0,apartment,0,Praga_Poludnie,5700,1100,57.0,3.0,4.0,0,1,1,0,1,0,0,0,1,1,,1,1,1,1,0.12542469789621305,2.20105053075934,3.635,84.76644952580608,1,standard
2024-12-03,5.0,,52.256679,20.978892,1,apartment,0,Wola,4300,200,46.5,2.0,6.0,0,0,0,0,1,0,0,0,1,1,9.0,1,1,0,0,0.23286235688816814,1.0196848220693964,3.761,110.03712113851121,1,standard
2024-12-03,2.0,,52.278274,20.985892,0,tenement,0,Zoliborz,4200,1200,100.0,3.0,3.0,0,1,0,0,0,0,0,0,0,0,95.0,0,1,1,0,0.04547452482194864,0.9316088309977882,5.69,82.92693053404287,1,standard
2024-12-03,,,52.293349,21.041254,0,block_of_flats,0,Targowek,3700,0,48.0,3.0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0.06241509772268089,0.39161945672649484,7.348,80.88461272071955,1,standard
2024-12-03,3.0,district,52.178331,21.042572,1,block_of_flats,1,Mokotow,5200,1200,62.0,3.0,6.0,0,1,0,0,1,0,0,0,0,1,6.0,1,1,1,1,0.1436424782425861,1.2045547606771558,6.075,103.25476313979215,1,standard
2024-12-03,,gas,52.206351,21.177356,1,other,1,Wawer,2600,950,56.6,2.0,,0,1,0,0,1,1,0,0,1,1,,0,0,0,0,0.11464181328185681,10.040816186436377,11.547,66.4407506238727,1,basic
2024-12-03,10.0,district,52.24493,20.99078,0,apartment,0,Wola,9000,850,55.0,2.0,25.0,0,0,0,0,1,0,0,0,0,0,21.0,0,0,0,1,0.06486263513716937,0.6272733059927309,2.235,102.36927223702557,1,premium
2024-12-03,3.0,district,52.189444,21.004397,1,block_of_flats,1,Mokotow,2350,388,26.0,1.0,5.0,0,1,0,0,0,0,0,0,0,1,,1,1,0,0,0.10590444070081162,0.8035501205302013,4.508,93.59075813237938,1,basic
2024-12-03,2.0,district,52.192466,21.010388,0,tenement,0,Mokotow,2600,580,32.0,1.0,3.0,0,1,0,0,0,0,0,0,0,0,65.0,1,1,0,0,0.027384483235486753,0.5398955087195634,4.142,88.8541647404698,1,standard
2024-12-04,1.0,,52.24336,20.90607,1,apartment,0,Bemowo,4700,700,66.0,3.0,6.0,0,0,0,1,1,0,0,0,0,0,9.0,0,0,1,0,0.37596317498256787,0.5891406355480571,7.385,82.9841032287633,1,superior
2024-12-04,1.0,district,52.308765,20.99258,1,apartment,1,Bialoleka,3000,570,36.0,2.0,4.0,0,1,1,1,1,0,0,0,1,1,7.0,1,1,0,0,0.2253678920164237,2.8478277919218455,8.892,74.93613908642307,0,standard
2024-12-04,6.0,,52.232618,20.989453,0,other,0,Wola,7700,1,85.0,3.0,,0,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.14319662257835752,0.31564447663375195,1.583,129.51156438583106,1,standard
2024-12-04,5.0,district,52.19592,21.01403,1,apartment,0,Mokotow,11000,1,98.0,3.0,5.0,0,0,0,0,0,0,0,0,0,1,18.0,1,1,0,0,0.04413116241328365,0.4526260090086547,3.758,90.15866542876387,0,standard
2024-12-04,1.0,district,52.26492,21.04182,0,block_of_flats,1,Praga_Polnoc,3500,700,44.0,2.0,5.0,0,0,1,1,1,0,0,0,1,1,2.0,0,0,1,0,0.04828384071566195,0.21676677052700757,4.405,107.46528898835479,1,standard
2024-12-04,2.0,,52.133405,21.066058,1,block_of_flats,1,Ursynow,4200,1550,82.0,3.0,4.0,0,1,0,0,1,0,0,0,0,1,,1,1,1,0,0.19555406818214885,0.19555406818214885,11.32,77.33495364086475,1,standard
2024-12-04,1.0,,52.26879,20.9802,0,other,0,Zoliborz,3300,700,41.06,2.0,3.0,0,0,0,0,0,1,0,0,0,0,93.0,0,0,0,0,0.14803226349575263,0.18955545436995572,4.862,95.86977764826452,1,standard
2024-12-04,7.0,,52.23836,20.98507,1,other,0,Wola,2500,600,27.15,1.0,10.0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,0,0,0.17179129764460563,0.8414977769053643,2.083,112.81608139363372,1,basic
2024-12-04,2.0,district,52.21739,20.97525,0,tenement,0,Ochota,3800,470,40.0,2.0,4.0,0,0,0,0,0,0,0,1,0,0,,0,0,1,0,0.10542652109497601,1.382198338090594,2.865,92.73957116874868,1,standard
2024-12-04,1.0,district,52.262416,21.049673,0,apartment,0,Praga_Polnoc,5600,450,74.0,3.0,4.0,0,0,0,0,1,0,0,0,0,0,5.0,1,1,1,0,0.13793596822603035,0.3535536030839923,4.443,110.88181893314952,1,standard
2024-12-04,10.0,district,52.224791,21.101028,1,block_of_flats,0,Praga_Poludnie,3000,1273,63.6,3.0,12.0,0,1,0,0,0,1,0,0,0,0,43.0,0,0,1,0,0.08475340359824898,4.4574836969180165,6.075,72.19523017337434,1,standard
2024-12-04,5.0,district,52.249191,21.041902,1,tenement,0,Praga_Polnoc,4000,890,50.0,2.0,5.0,0,0,0,0,0,0,0,0,0,1,6.0,1,1,0,0,0.08911144120981804,0.13804433988510847,2.964,92.43207479029039,1,standard
2024-12-04,3.0,district,52.207272,21.041788,0,tenement,0,Mokotow,4499,950,56.0,3.0,3.0,0,0,0,0,1,1,0,1,0,0,67.0,1,1,1,0,0.08898862979121415,2.158308806063513,3.207,94.80694910067386,1,standard
2024-12-04,2.0,district,52.32045,20.963109,1,block_of_flats,1,Bialoleka,2800,1430,43.0,2.0,6.0,0,1,0,0,1,1,0,0,1,1,,1,1,1,1,0.2741957402135139,3.8829155965832514,10.629,84.76924067666242,1,standard
2024-12-04,3.0,district,52.217343,20.975233,0,tenement,0,Ochota,2200,590,28.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,1,0,0.10990633876602754,1.3875467730104916,2.869,92.73957116874868,0,standard
2024-12-04,1.0,district,52.234689,21.104659,1,block_of_flats,1,Praga_Poludnie,2700,850,50.0,2.0,8.0,0,1,0,0,0,1,0,0,0,0,45.0,0,0,1,0,0.15763795449514909,4.346059530339634,6.321,81.04483259582595,1,standard
2024-12-04,1.0,gas,52.310599,20.978607,1,block_of_flats,0,Bialoleka,2700,750,37.5,2.0,4.0,0,1,0,0,1,0,0,0,1,0,3.0,1,1,1,0,0.11535197953674348,3.7164854155722686,9.281,79.21920627111471,1,standard
2024-12-05,1.0,district,52.180452,21.051045,0,block_of_flats,0,Mokotow,2400,900,42.0,2.0,10.0,0,0,0,0,0,1,0,0,0,0,,1,1,1,0,0.14274077389691806,1.826123280860131,6.082,82.67882982494365,1,basic
2024-12-05,5.0,,52.20646,20.97401,0,other,0,Ochota,3500,900,47.0,2.0,5.0,0,1,0,0,0,1,0,0,0,0,,0,0,1,1,0.12179181249428828,2.2946789917240986,3.667,90.58560154787513,1,superior
2024-12-05,4.0,district,52.14592,21.05622,1,block_of_flats,1,Ursynow,3000,1199,61.4,2.0,5.0,0,0,0,0,1,0,0,0,0,0,23.0,1,1,1,0,0.0704840417194685,0.6223897951883434,9.787,79.23688625715343,1,standard
2024-12-05,1.0,district,52.195286,21.051824,0,block_of_flats,0,Mokotow,2900,800,67.0,3.0,4.0,0,1,0,0,1,1,0,0,1,0,30.0,0,0,0,0,0.0997662783471303,2.2702221971705856,4.683,85.67922418047493,1,basic
2024-12-05,7.0,district,52.141716,21.049261,1,block_of_flats,0,Ursynow,3300,1300,58.0,3.0,10.0,0,1,0,0,1,1,0,1,0,0,41.0,0,1,1,0,0.23420452509549952,0.5598480310400691,10.104,80.80679369401943,1,basic
2024-12-05,1.0,district,52.155877,21.082523,1,apartment,1,Wilanow,7500,1000,88.0,3.0,4.0,0,0,0,0,1,0,0,0,0,1,8.0,0,0,1,0,0.25680943597570827,2.403068698854938,9.506,105.28581536499394,1,superior
2024-12-05,,,52.233826,21.226836,0,other,0,Wesola,4000,0,70.0,3.0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0.19588972446192707,12.46568826230062,14.625,0.0,1,standard
2024-12-05,6.0,district,52.23,21.08,1,apartment,1,Praga_Poludnie,4400,0,46.0,2.0,8.0,0,1,0,0,1,0,0,0,0,1,5.0,1,1,0,1,0.26029321221837975,2.917192746311786,4.618,78.88777494034076,1,superior
2024-12-05,6.0,,52.23214,21.0267,1,other,0,Srodmiescie,2200,433,34.0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,0,0,0.08312444168461854,0.7503290477238064,1.024,119.190537303653,1,basic
2024-12-05,1.0,,52.210248,21.00379,0,other,0,Ochota,2400,400,20.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,0,0,0.08640895120735204,0.3047907938194473,2.238,99.79304335919417,1,basic
2024-12-05,3.0,district,52.27883,20.918824,1,block_of_flats,1,Bielany,4500,1000,82.0,3.0,8.0,0,0,1,0,1,1,0,0,1,1,22.0,0,0,1,1,0.3291198916042904,1.4305280818942887,8.381,78.94720080785999,1,basic
2024-12-05,1.0,district,52.170938,20.99938,0,block_of_flats,0,Mokotow,3500,680,49.66,3.0,2.0,0,0,0,0,0,1,0,0,0,0,71.0,1,1,0,1,0.1309648584894626,1.7341798117094984,6.592,90.90689602758985,0,standard
2024-12-05,,district,52.228285,20.955318,1,apartment,1,Wola,4500,1000,46.0,2.0,,0,1,1,0,1,0,1,1,0,1,3.0,1,1,1,1,0.05898597318117353,0.8853510025851749,3.877,120.13608587863331,1,superior
2024-12-05,3.0,district,52.129932,21.069793,1,apartment,1,Ursynow,5900,1150,76.0,3.0,5.0,0,1,0,0,1,0,0,1,0,1,2.0,1,1,1,0,0.12031776812642472,0.2134322075971313,11.768,81.77901931275966,1,superior
2024-12-05,7.0,district,52.174193,20.990123,1,block_of_flats,0,Mokotow,4700,0,41.0,2.0,7.0,0,1,0,0,1,0,0,0,1,0,,0,0,1,0,0.3243093631403517,2.141929296036673,6.353,99.82774515819621,1,superior
2024-12-05,6.0,district,52.200536,20.941984,1,block_of_flats,0,Wlochy,6300,1014,92.2,4.0,6.0,0,1,0,1,1,0,0,0,0,1,1.0,0,1,1,0,0.34999290584915566,3.937726779291877,5.779,96.3261976360581,1,superior
2024-12-06,1.0,,52.20368,21.02265,0,other,0,Mokotow,2900,1200,68.0,2.0,3.0,0,1,0,0,0,0,0,1,0,0,87.0,0,0,0,0,0.13080417219961424,0.850746608102661,2.98,96.13292488991785,1,standard
2024-12-06,2.0,district,52.231759,20.973551,1,apartment,0,Wola,3500,500,41.0,2.0,,0,1,0,0,0,0,0,0,1,1,9.0,0,0,0,0,0.23474245871397129,0.47990536292009245,2.642,114.51600931050878,1,standard
2024-12-06,1.0,district,52.21867,21.02134,1,tenement,1,Srodmiescie,3900,750,52.0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,69.0,0,1,1,1,0.1172638061618939,0.38771897263566213,1.375,102.93565220684037,1,standard
2024-12-06,10.0,,52.24129,21.08965,0,other,0,Praga_Poludnie,2700,950,50.0,2.0,15.0,0,1,0,0,0,0,0,1,0,0,,0,0,1,0,0.3844967611215682,3.1983071931342058,5.429,88.83598481687166,1,standard
2024-12-06,1.0,district,52.217019,21.022112,1,apartment,0,Srodmiescie,12500,1500,110.0,4.0,6.0,0,1,0,0,1,0,0,0,0,1,23.0,1,1,1,1,0.16370425066450872,0.4669180355173703,1.563,101.14179583197857,1,premium
2024-12-06,1.0,,52.15202,21.10499,0,apartment,0,Wilanow,5700,1300,83.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,1,0,0.8088800909936927,3.435003129348388,10.706,77.04249951484572,1,basic
2024-12-06,6.0,district,52.23316,21.01261,1,block_of_flats,0,Srodmiescie,4200,750,35.0,2.0,9.0,0,0,0,0,0,0,0,0,0,0,61.0,0,0,1,1,0.2219422331431103,0.2219422331431103,0.386,106.56127715889401,1,standard
2024-12-06,8.0,district,52.194335,20.963782,1,block_of_flats,1,Wlochy,2500,520,36.0,2.0,10.0,0,0,0,0,0,1,0,0,0,1,51.0,1,1,1,0,0.1276184693849592,3.3129729823865675,5.133,87.05285656406424,1,basic
2024-12-06,1.0,district,52.136539,21.0503,1,apartment,1,Ursynow,3600,0,60.0,2.0,5.0,0,0,1,0,1,0,0,0,1,1,,1,1,0,0,0.06548134314197177,0.5619190529694837,10.68,73.00719577498965,1,basic
2024-12-06,1.0,,52.216006,20.98554,0,tenement,0,Ochota,3500,1000,68.0,2.0,3.0,0,1,0,0,1,0,0,0,0,0,95.0,1,0,0,0,0.1289131770420653,1.489456449185789,2.37,90.70707369458147,1,standard
2024-12-06,1.0,district,52.201231,21.03483,0,other,0,Mokotow,3300,0,28.0,1.0,3.0,0,1,0,0,0,1,0,0,0,0,,1,0,0,0,0.06618555400729717,1.570227524223021,3.521,89.42796372761624,1,basic
2024-12-06,4.0,district,52.224785,20.996917,1,tenement,0,Ochota,3000,300,30.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,87.0,1,1,1,1,0.1553982513120823,0.7439175106003815,1.176,80.10457014302212,0,standard
2024-12-06,3.0,district,52.255669,21.04344,1,apartment,0,Praga_Polnoc,3299,650,39.0,1.0,6.0,0,1,0,0,1,1,0,0,0,0,6.0,1,1,1,0,0.15536964654556037,0.49862090780413854,3.586,90.66874840172576,1,standard
2024-12-06,1.0,district,52.19832,21.01715,0,tenement,0,Mokotow,2800,634,28.46,1.0,3.0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.2040248002539906,0.39207714500630964,3.506,92.38140652404147,1,standard
2024-12-06,1.0,,52.22792,21.05839,0,other,0,Praga_Poludnie,3600,800,50.0,2.0,3.0,0,1,1,1,0,0,0,1,0,0,,0,0,1,0,0.09339322367162739,1.9083994457560147,3.152,87.51079388392668,1,standard
