stop_id,stop_code,stop_name,stop_lat,stop_lon
133,1,Korotyńskiego,52.2021410000,20.9690240000
134,5,Dickensa,52.2060740000,20.9711250000
138,5,Bitwy Warszawskiej 1920 r.,52.2105860000,20.9775860000
158,1,Baleya,52.1956210000,20.9826700000
159,1,Rakowiec,52.1979170000,20.9834130000
161,1,Pruszkowska,52.2007880000,20.9843910000
162,4,Pruszkowska,52.2014830000,20.9836350000
163,1,Uniwersytet Medyczny,52.2047730000,20.9857730000
173,1,Grzymały-Sokołowskiego,52.2199530000,20.9718610000
2,2,Włochy-Ratusz,52.1926280000,20.9600450000
15,1,Krakowiaków,52.1849430000,20.9536680000
24,1,Orzechowa,52.1918810000,20.9492570000
26,1,Przedpole,52.1927680000,20.9446880000
30,1,PKP WKD Al. Jerozolimskie,52.2057600000,20.9432160000
31,2,Mikołajska,52.2030030000,20.9283460000
35,2,Techników,52.2046730000,20.9236490000
38,3,Sympatyczna,52.2103000000,20.9198600000
40,2,Parowcowa,52.2123300000,20.9138900000
47,2,Szancera,52.1957080000,20.8978350000
49,1,Adamieckiego,52.1936490000,20.8958040000
59,2,Przepiórki,52.2028540000,20.9036980000
62,1,Rybnicka,52.2075460000,20.9048790000
65,4,PKP Włochy,52.2063080000,20.9143930000
76,2,Lalki,52.1976960000,20.8787990000
77,2,Wojciechowskiego,52.1958600000,20.8785600000
85,2,Popularna,52.2007240000,20.9350620000
86,4,Popularna,52.2016700000,20.9347340000
87,2,PKP WKD Al. Jerozolimskie,52.2057980000,20.9427500000
88,2,WKD Raków,52.1945230000,20.9361070000
99,1,PKP Służewiec,52.1811790000,20.9869910000
102,1,Ogród Działkowy im. Warneńczyka,52.1842200000,20.9609600000
105,2,Drzewieckiego,52.1822130000,20.9726130000
120,2,Instytut Lotnictwa,52.1801730000,20.9479720000
140,2,Och-Teatr,52.2151460000,20.9798740000
154,2,Uniwersytet Medyczny,52.2047800000,20.9863300000
175,1,Dw. Zachodni,52.2181422000,20.9670695700
177,3,Dw. Zachodni,52.2180370000,20.9649260000
184,1,Śmigłowca,52.2104140000,20.9502960000
196,1,Wiślicka,52.2040080000,20.9755710000
204,7,Szczęśliwice,52.2090780000,20.9639530000
205,1,Szczęśliwice,52.2080800000,20.9639070000
214,3,Grzymały-Sokołowskiego,52.2185070000,20.9741480000
217,4,Pl. Unii Lubelskiej,52.2126560000,21.0212010000
230,2,Łagiewnicka,52.1284280000,21.0182790000
250,2,Dolina Służewiecka,52.1759220000,21.0446290000
255,3,Vogla,52.1598410000,21.0889800000
258,1,Czekoladowa,52.1321830000,21.1010140000
260,3,Przekorna,52.1241620000,21.1027470000
270,2,Pl. Bernardyński,52.1948020000,21.0546800000
275,3,Wiertnicza,52.1795770000,21.0725730000
278,1,Budexpo,52.2127360000,21.0593440000
193,2,Siemieńskiego,52.2022920000,20.9739300000
201,2,Hala Kopińska,52.2180430000,20.9763720000
223,18,Metro Wilanowska,52.1799430000,21.0242750000
233,2,Jagielska,52.1153300000,21.0185920000
235,2,Dąbrówka,52.1065830000,21.0188090000
246,52,Nałęczowska,52.1748610000,21.0633170000
251,2,Patkowskiego,52.1728910000,21.0545780000
266,3,Bartycka,52.2117600000,21.0482300000
267,2,Sielce,52.2079200000,21.0485400000
269,2,Al. Witosa,52.1990180000,21.0514190000
273,1,Goraszewska,52.1859680000,21.0644850000
284,1,Kaloryczna,52.1987010000,21.0812950000
285,1,Ogrody Działkowe Budowlani II,52.1971670000,21.0851330000
288,1,Statkowskiego,52.1907730000,21.0831790000
293,1,Iwicka,52.2065860000,21.0429140000
295,1,Bobrowiecka,52.2003230000,21.0461600000
301,2,Warneńska,52.1836960000,21.0457700000
303,1,Noskowskiego,52.1725180000,21.0390340000
317,2,Modzelewskiego,52.1833850000,21.0147110000
320,2,Telewizja Polska,52.1891010000,21.0127710000
322,1,Konduktorska,52.2009550000,21.0313410000
328,2,Kopcińskiego,52.1585880000,21.0550870000
329,1,Łowicka,52.2025000000,21.0057260000
332,3,Metro Ursynów,52.1619560000,21.0263530000
334,1,Pięciolinii,52.1558190000,21.0237410000
338,1,Ursynów Płd.,52.1539200000,21.0393300000
340,5,Polinezyjska,52.1508110000,21.0482820000
341,3,Miklaszewskiego,52.1481930000,21.0431510000
343,1,Natolin Płn.,52.1468140000,21.0546190000
345,2,Migdałowa,52.1453850000,21.0567740000
346,1,Europejska,52.1607450000,21.0929190000
352,1,Grabalówki,52.1512600000,21.1328140000
355,2,Mysiadło,52.0985570000,21.0190440000
366,2,Dom Artystów,52.0846380000,21.0796890000
379,2,Siedliskowa,52.1762640000,21.1071200000
382,2,Lokajskiego,52.1397230000,21.0687780000
387,1,Kiepury,52.1359800000,21.0727860000
409,2,Orzycka,52.1711250000,21.0090780000
410,1,Bartłomieja,52.1697520000,21.0089720000
414,1,Miłobędzka,52.1965230000,20.9935440000
420,4,Racjonalizacji,52.1861010000,20.9929080000
424,1,Jadźwingów,52.1712090000,21.0043620000
428,1,Metro Imielin,52.1502030000,21.0463950000
174,2,Grzymały-Sokołowskiego,52.2202650000,20.9717560000
182,5,Rondo Zesłańców Syberyjskich,52.2168100000,20.9632130000
183,2,Rondo Zesłańców Syberyjskich,52.2160880000,20.9592790000
189,1,Skorochód-Majewskiego,52.2050660000,20.9738840000
190,2,Banacha,52.2099770000,20.9802930000
200,4,Grzymały-Sokołowskiego,52.2195400000,20.9720010000
206,2,Szczęśliwice,52.2079740000,20.9638220000
207,3,Szczęśliwice,52.2078860000,20.9637530000
208,4,Szczęśliwice,52.2077940000,20.9636700000
209,5,Szczęśliwice,52.2077000000,20.9636040000
212,1,Hala Kopińska,52.2172040000,20.9780820000
215,6,Grzymały-Sokołowskiego,52.2185210000,20.9728940000
216,5,Grzymały-Sokołowskiego,52.2181300000,20.9725940000
220,2,Park Dreszera,52.1980880000,21.0242610000
222,2,Królikarnia,52.1907600000,21.0247500000
224,2,Wyścigi,52.1668760000,21.0181030000
225,2,Poleczki,52.1540800000,21.0179600000
226,2,Grabów,52.1479810000,21.0178620000
227,2,Sójki,52.1442430000,21.0179180000
228,2,Żołny,52.1404520000,21.0181660000
232,2,Kapeli,52.1182430000,21.0185280000
234,2,Karczunkowska,52.1120560000,21.0186690000
236,1,Trombity,52.1102810000,21.0060810000
239,2,Kostrzewskiego,52.1972430000,21.0395750000
248,1,Podbipięty,52.1779040000,21.0294940000
252,2,Os. Arbuzowa,52.1715730000,21.0604380000
254,8,Wilanów,52.1671870000,21.0848090000
256,2,Powsinek,52.1532050000,21.0916130000
259,1,Rosochata,52.1269780000,21.1034040000
261,2,Andrutowa,52.1231450000,21.0985430000
265,1,Powsin-Park Kultury,52.1167300000,21.0928900000
